Drug_Name,Target_Name,Mol_Desc_1,Mol_Desc_2,Mol_Desc_3,Mol_Desc_4,Mol_Desc_5,Mol_Desc_6,Mol_Desc_7,Mol_Desc_8,Mol_Desc_9,Mol_Desc_10,Mol_Desc_11,Mol_Desc_12,Mol_Desc_13,Mol_Desc_14,Mol_Desc_15,Mol_Desc_16,Mol_Desc_17,Mol_Desc_18,Mol_Desc_19,Mol_Desc_20,Prot_Desc_1,Prot_Desc_2,Prot_Desc_3,Prot_Desc_4,Prot_Desc_5,Prot_Desc_6,Prot_Desc_7,Prot_Desc_8,Prot_Desc_9,Prot_Desc_10,Prot_Desc_11,Prot_Desc_12,Prot_Desc_13,Prot_Desc_14,Prot_Desc_15,Prot_Desc_16,Prot_Desc_17,Prot_Desc_18,Prot_Desc_19,Prot_Desc_20,Binding_Affinity,Interaction_Label
Ibuprofen,HMGCR,0.3604,0.3955,0.9518,0.2796,0.9581,0.6102,0.8631,0.6925,0.0474,0.9861,0.4355,0.6047,0.5617,0.1904,0.1779,0.4745,0.341,0.759,0.6468,0.452,0.7364,0.0697,0.6642,0.4341,0.0441,0.2251,0.2545,0.8141,0.8344,0.3533,0.214,0.7302,0.1326,0.6046,0.6202,0.1438,0.5869,0.8073,0.2525,0.0997,920.22,0
Levobupivacaine,SCN4A,0.3917,0.8113,0.3558,0.3848,0.6986,0.6531,0.9029,0.1198,0.7597,0.3268,0.3776,0.1122,0.3662,0.6899,0.3136,0.9845,0.5087,0.4959,0.5941,0.8238,0.4473,0.151,0.4549,0.5211,0.3897,0.0707,0.4351,0.7489,0.3222,0.7683,0.1121,0.7113,0.644,0.2847,0.8939,0.4009,0.6798,0.9421,0.1803,0.1419,274.36,1
Atorvastatin,SCN4A,0.7935,0.5134,0.4378,0.2188,0.5914,0.8621,0.6623,0.9368,0.9574,0.8847,0.1417,0.9215,0.3249,0.3044,0.6452,0.7157,0.1329,0.0153,0.5421,0.8627,0.5774,0.1879,0.8471,0.8847,0.2506,0.2494,0.5386,0.257,0.4171,0.4865,0.4251,0.6376,0.8396,0.6538,0.4639,0.7126,0.404,0.8703,0.443,0.2719,255.43,1
Metformin,HMGCR,0.3242,0.0393,0.6713,0.22,0.2146,0.641,0.2778,0.2268,0.9968,0.8772,0.7237,0.0627,0.7967,0.2595,0.7543,0.6089,0.4997,0.509,0.1986,0.1779,0.8458,0.9095,0.0749,0.2648,0.0134,0.6557,0.9302,0.7199,0.9931,0.1252,0.8196,0.9308,0.8748,0.5532,0.8931,0.971,0.0526,0.3276,0.9852,0.8274,999.6,0
Atorvastatin,TNF,0.5019,0.9462,0.9673,0.4704,0.152,0.1407,0.2162,0.35,0.3963,0.154,0.7147,0.6777,0.4799,0.2659,0.0513,0.3948,0.3595,0.1843,0.2214,0.4227,0.9584,0.7293,0.7287,0.5348,0.3273,0.7767,0.1103,0.2037,0.0656,0.8202,0.2384,0.5996,0.8843,0.8497,0.0754,0.3253,0.074,0.1941,0.398,0.8684,54.56,1
Atorvastatin,CYP2D6,0.6239,0.0827,0.8908,0.8926,0.6073,0.2584,0.6255,0.9791,0.1087,0.2435,0.9113,0.7428,0.848,0.0698,0.7086,0.1698,0.2582,0.6741,0.44,0.9839,0.1026,0.5711,0.3709,0.8589,0.7456,0.9569,0.3956,0.4805,0.371,0.1462,0.3979,0.1447,0.9682,0.4791,0.2155,0.4183,0.5388,0.8834,0.5583,0.7096,235.81,1
Ibuprofen,SCN4A,0.2322,0.5977,0.6671,0.1919,0.2229,0.6376,0.9408,0.8672,0.0945,0.128,0.8483,0.3322,0.4057,0.9522,0.0146,0.71,0.7638,0.0176,0.7004,0.0008,0.0588,0.3352,0.9486,0.8411,0.5068,0.4926,0.4492,0.4938,0.159,0.0777,0.9477,0.6394,0.3018,0.5854,0.5727,0.8542,0.8046,0.499,0.6571,0.7396,197.42,1
Metformin,HMGCR,0.7187,0.8777,0.8567,0.2879,0.7066,0.9119,0.5781,0.0472,0.4915,0.288,0.828,0.1036,0.5444,0.3451,0.2851,0.0368,0.3958,0.4482,0.6346,0.8085,0.0547,0.9227,0.9947,0.1074,0.7452,0.1921,0.1233,0.2974,0.3682,0.8658,0.0574,0.7039,0.4984,0.7693,0.4739,0.4704,0.9461,0.8826,0.0557,0.042,372.13,1
Metformin,HMGCR,0.5471,0.0798,0.0852,0.853,0.1145,0.8915,0.8393,0.0469,0.7918,0.5238,0.8019,0.4248,0.3203,0.6446,0.9531,0.9276,0.5974,0.8311,0.3773,0.3092,0.5869,0.5432,0.0414,0.5324,0.0784,0.2257,0.5267,0.8218,0.8182,0.7479,0.3202,0.6169,0.0678,0.5716,0.5673,0.9542,0.3543,0.1967,0.4861,0.4367,922.2,0
Metformin,HMGCR,0.4468,0.5539,0.3771,0.3393,0.3396,0.3592,0.5654,0.8188,0.0479,0.9281,0.8817,0.2398,0.3991,0.727,0.434,0.3837,0.3124,0.9792,0.7211,0.1653,0.0357,0.3113,0.0571,0.4341,0.1274,0.0012,0.3627,0.2408,0.3575,0.2257,0.123,0.9381,0.5332,0.1105,0.1531,0.8376,0.7356,0.836,0.7434,0.1131,775.84,0
Metformin,CYP2D6,0.8098,0.8243,0.0131,0.9624,0.7731,0.8307,0.6746,0.0704,0.1683,0.3966,0.5143,0.5939,0.6851,0.3766,0.4917,0.5519,0.4268,0.9798,0.6098,0.3742,0.3433,0.6288,0.3406,0.0136,0.7038,0.9705,0.2128,0.975,0.7378,0.3305,0.0414,0.5544,0.258,0.9209,0.5464,0.7779,0.6523,0.2998,0.1012,0.2816,343.24,1
Metformin,KCNH2,0.2435,0.9863,0.1775,0.2689,0.831,0.5113,0.5678,0.8517,0.5886,0.9879,0.0782,0.0349,0.2835,0.8741,0.7397,0.4051,0.221,0.9263,0.1135,0.124,0.8486,0.0565,0.7778,0.7334,0.682,0.5725,0.9245,0.2145,0.6618,0.7994,0.457,0.9048,0.9524,0.8604,0.1223,0.2501,0.3243,0.6317,0.6686,0.1666,433.57,1
Ibuprofen,TNF,0.8832,0.7243,0.6305,0.4421,0.3452,0.4643,0.5754,0.9246,0.0855,0.3992,0.5666,0.0482,0.9975,0.7133,0.5839,0.365,0.463,0.4561,0.9022,0.4876,0.1109,0.8879,0.0438,0.4902,0.942,0.0464,0.6332,0.7043,0.4521,0.9892,0.4647,0.2624,0.8295,0.7177,0.7376,0.7082,0.9083,0.3306,0.0644,0.3966,608.17,0
Levobupivacaine,KCNH2,0.561,0.2783,0.8856,0.0956,0.2067,0.3509,0.7393,0.0238,0.8784,0.589,0.8465,0.5728,0.8159,0.0596,0.3029,0.9829,0.6594,0.618,0.9756,0.8211,0.9142,0.2844,0.3578,0.1976,0.3543,0.2713,0.7165,0.5145,0.4598,0.6804,0.3925,0.537,0.4182,0.2777,0.7308,0.2422,0.9437,0.917,0.3429,0.2255,861.7,0
Atorvastatin,TNF,0.6092,0.6996,0.6328,0.9922,0.9582,0.6782,0.3962,0.22,0.5031,0.9648,0.095,0.1381,0.1205,0.8203,0.5899,0.5627,0.4088,0.0474,0.6487,0.1737,0.4584,0.5276,0.1122,0.6145,0.5331,0.2794,0.6106,0.8831,0.8633,0.7777,0.1722,0.3647,0.7097,0.3346,0.1081,0.1499,0.7626,0.5296,0.059,0.6293,490.48,1
Metformin,TNF,0.8751,0.7058,0.6641,0.8901,0.7611,0.5996,0.904,0.0232,0.3868,0.6016,0.8203,0.3593,0.2302,0.2202,0.5439,0.8809,0.4566,0.4918,0.1192,0.0993,0.6147,0.6412,0.0392,0.0206,0.9292,0.6217,0.0846,0.2813,0.1956,0.1855,0.6257,0.3934,0.2298,0.5738,0.9708,0.4718,0.2955,0.6973,0.2653,0.9251,852.24,0
Levobupivacaine,HMGCR,0.8176,0.7,0.1038,0.8176,0.8071,0.3747,0.8635,0.0728,0.0132,0.3869,0.1376,0.875,0.6725,0.3967,0.1285,0.1947,0.4157,0.8091,0.2151,0.472,0.9296,0.7084,0.0963,0.9657,0.3123,0.4714,0.8567,0.1122,0.4462,0.985,0.618,0.3956,0.8674,0.0964,0.3045,0.642,0.3712,0.2638,0.7745,0.9283,891.17,0
Levobupivacaine,SCN4A,0.6016,0.8543,0.6649,0.1573,0.2228,0.7628,0.7253,0.5341,0.113,0.5255,0.0259,0.0247,0.1745,0.9901,0.7444,0.5421,0.5603,0.0944,0.169,0.4547,0.2781,0.9304,0.4821,0.5416,0.2282,0.6194,0.7271,0.0476,0.55,0.6329,0.9278,0.6772,0.1707,0.3856,0.9926,0.957,0.4096,0.3054,0.6024,0.5395,488.46,1
Atorvastatin,HMGCR,0.7532,0.0874,0.4543,0.9694,0.4244,0.3793,0.7434,0.7302,0.8276,0.5438,0.7022,0.1496,0.0064,0.2602,0.6078,0.4858,0.3562,0.3483,0.3167,0.2541,0.9527,0.1858,0.4612,0.3041,0.9517,0.3694,0.1457,0.0361,0.0553,0.668,0.8366,0.3154,0.3846,0.8082,0.039,0.2226,0.3207,0.7168,0.1386,0.7299,63.76,1
Ibuprofen,CYP2D6,0.4333,0.1084,0.6514,0.9292,0.0682,0.5844,0.4132,0.4795,0.699,0.1051,0.645,0.9053,0.6489,0.9324,0.0634,0.3902,0.052,0.5101,0.8827,0.4466,0.8914,0.3806,0.59,0.9842,0.7788,0.8264,0.9858,0.8471,0.2602,0.872,0.7473,0.3096,0.7537,0.5515,0.7658,0.5602,0.2464,0.5609,0.2507,0.4972,81.78,1
Hydroxychloroquine,TNF,0.5474,0.6406,0.3262,0.4357,0.1094,0.3924,0.8325,0.3859,0.0204,0.4046,0.8781,0.3802,0.234,0.7767,0.1442,0.4911,0.7638,0.5497,0.0546,0.7078,0.8073,0.0916,0.2901,0.6557,0.2073,0.8458,0.2787,0.6945,0.3831,0.737,0.2038,0.19,0.1481,0.1188,0.5845,0.3168,0.7211,0.0387,0.5672,0.7449,514.3,0
Hydroxychloroquine,SCN4A,0.0621,0.9539,0.5815,0.6816,0.221,0.1169,0.9326,0.2067,0.974,0.5264,0.6628,0.3667,0.1757,0.7249,0.1307,0.2418,0.2645,0.5074,0.0825,0.6397,0.0063,0.7961,0.6307,0.647,0.6016,0.6945,0.6989,0.125,0.4754,0.3091,0.0948,0.7649,0.1884,0.8444,0.6821,0.8105,0.2295,0.1164,0.6974,0.5824,836.48,0
Levobupivacaine,TNF,0.0899,0.4658,0.4241,0.9925,0.3032,0.1612,0.7951,0.2366,0.3533,0.7793,0.2635,0.5533,0.6779,0.991,0.0699,0.7932,0.611,0.6039,0.8641,0.0384,0.679,0.3387,0.6796,0.5419,0.348,0.944,0.0407,0.9114,0.0896,0.3704,0.5147,0.3712,0.8473,0.4523,0.4598,0.5752,0.1152,0.4293,0.8162,0.2267,319.8,1
Atorvastatin,TNF,0.8294,0.9606,0.5586,0.4097,0.9972,0.6567,0.133,0.5824,0.6064,0.006,0.9214,0.4395,0.4082,0.8959,0.2096,0.6074,0.8477,0.8021,0.9802,0.7881,0.8064,0.2578,0.8574,0.6046,0.2756,0.0876,0.2549,0.6347,0.1151,0.0029,0.404,0.0272,0.2082,0.9306,0.4483,0.3694,0.8738,0.2688,0.527,0.5768,925.4,0
Hydroxychloroquine,HMGCR,0.0597,0.9381,0.1471,0.113,0.4221,0.8112,0.7866,0.8558,0.7226,0.8139,0.9027,0.7743,0.9419,0.8507,0.5738,0.1188,0.7118,0.871,0.9093,0.8965,0.3927,0.3558,0.389,0.8566,0.2366,0.3233,0.1433,0.1598,0.8925,0.757,0.9595,0.1241,0.4832,0.9798,0.172,0.9398,0.9975,0.7584,0.7558,0.7921,244.57,1
Levobupivacaine,SCN4A,0.1694,0.9029,0.3958,0.8678,0.6979,0.4685,0.4646,0.4046,0.9565,0.2702,0.9427,0.2812,0.2665,0.0536,0.1218,0.4842,0.3195,0.2645,0.2982,0.8159,0.9945,0.4131,0.8407,0.9767,0.8382,0.3577,0.9834,0.3661,0.7937,0.7361,0.9271,0.2958,0.106,0.9876,0.0993,0.3307,0.7474,0.698,0.8209,0.5067,132.83,1
Ibuprofen,SCN4A,0.7958,0.9099,0.3743,0.4765,0.9044,0.3256,0.6087,0.9396,0.8904,0.7154,0.7385,0.1512,0.2462,0.3794,0.2197,0.9434,0.5243,0.6481,0.1299,0.8349,0.1993,0.2093,0.9647,0.469,0.1424,0.2088,0.952,0.2991,0.1899,0.4168,0.281,0.1844,0.5369,0.5814,0.0216,0.1553,0.5237,0.9804,0.7849,0.8789,651.15,0
Hydroxychloroquine,TNF,0.0011,0.8983,0.7364,0.987,0.2461,0.3365,0.9912,0.0521,0.5974,0.7723,0.8696,0.5546,0.5642,0.3363,0.921,0.94,0.4568,0.7122,0.801,0.0628,0.8194,0.3203,0.6841,0.978,0.9844,0.9558,0.9715,0.2616,0.223,0.251,0.6253,0.9321,0.3643,0.3845,0.954,0.0778,0.4766,0.2343,0.4959,0.5117,350.49,1
Levobupivacaine,SCN4A,0.2824,0.8199,0.7064,0.5509,0.1447,0.5976,0.3594,0.8292,0.1394,0.8596,0.241,0.4707,0.4932,0.0686,0.6244,0.9898,0.1411,0.2647,0.5574,0.4636,0.5684,0.1985,0.3926,0.2034,0.6486,0.6206,0.201,0.6851,0.6792,0.6938,0.2843,0.2327,0.65,0.7409,0.3426,0.7953,0.4315,0.5779,0.7669,0.5242,514.57,0
Levobupivacaine,SCN4A,0.584,0.695,0.9089,0.0295,0.2433,0.4677,0.3485,0.3387,0.845,0.9519,0.5853,0.3595,0.0958,0.1158,0.5682,0.2213,0.3262,0.4676,0.5538,0.9461,0.4544,0.408,0.2238,0.3875,0.8444,0.4938,0.0225,0.8405,0.0854,0.4015,0.6062,0.0148,0.2842,0.1334,0.9935,0.0262,0.3047,0.6382,0.9907,0.3834,735.64,0
Metformin,HMGCR,0.5954,0.0244,0.6321,0.4917,0.8824,0.0007,0.2631,0.8688,0.8168,0.9,0.2677,0.3777,0.607,0.6847,0.2374,0.8034,0.3983,0.4189,0.2624,0.0143,0.7757,0.6038,0.1644,0.8353,0.5199,0.2246,0.6204,0.3143,0.0944,0.526,0.9059,0.4709,0.3077,0.7757,0.8847,0.4469,0.5198,0.5373,0.3938,0.2661,973.3,0
Ibuprofen,KCNH2,0.7772,0.1323,0.3145,0.7181,0.6657,0.7715,0.1271,0.9194,0.6391,0.6332,0.3274,0.9103,0.7402,0.8091,0.5195,0.5926,0.1136,0.3194,0.5649,0.8795,0.2007,0.8612,0.1462,0.8349,0.9765,0.4836,0.5103,0.5834,0.3192,0.4526,0.3838,0.2298,0.5583,0.2918,0.8719,0.8349,0.1331,0.5698,0.2614,0.0639,753.47,0
Metformin,CYP2D6,0.5059,0.1342,0.7832,0.026,0.4513,0.1423,0.1682,0.7004,0.9892,0.7255,0.8275,0.7936,0.1961,0.6166,0.2121,0.7711,0.1615,0.6458,0.2865,0.0023,0.1937,0.6021,0.0428,0.1125,0.2186,0.8514,0.8989,0.2848,0.4694,0.2087,0.9106,0.5384,0.8046,0.2542,0.8247,0.1406,0.1637,0.0386,0.8408,0.5527,881,0
Atorvastatin,KCNH2,0.5094,0.0235,0.497,0.4134,0.8203,0.6748,0.5143,0.3551,0.5283,0.7021,0.7105,0.2,0.2535,0.7806,0.5254,0.6483,0.5166,0.1933,0.4309,0.9419,0.4378,0.7046,0.8616,0.3348,0.1452,0.3159,0.3266,0.3923,0.2127,0.6192,0.9471,0.9263,0.0869,0.4995,0.1161,0.1853,0.158,0.6639,0.3074,0.4221,226.95,1
Metformin,SCN4A,0.7253,0.1167,0.1935,0.1556,0.2367,0.3442,0.9098,0.4569,0.2137,0.5179,0.9262,0.4431,0.066,0.6027,0.7676,0.2384,0.9004,0.5608,0.4287,0.0424,0.6804,0.1498,0.9533,0.501,0.8057,0.0309,0.5679,0.6439,0.5452,0.3086,0.1329,0.4754,0.2132,0.3191,0.5497,0.9624,0.1888,0.8303,0.2331,0.5263,720.47,0
Metformin,TNF,0.4986,0.9197,0.7474,0.6431,0.2392,0.578,0.8099,0.5518,0.2538,0.7686,0.7824,0.7532,0.1889,0.7143,0.6198,0.0929,0.6686,0.4938,0.6686,0.3386,0.688,0.9218,0.2993,0.5411,0.2558,0.7377,0.663,0.0714,0.3626,0.8979,0.4982,0.5689,0.1609,0.0487,0.3679,0.1647,0.276,0.5824,0.5791,0.912,542.89,0
Hydroxychloroquine,CYP2D6,0.6085,0.6638,0.1325,0.9573,0.5672,0.8551,0.1825,0.4621,0.4066,0.453,0.2905,0.5188,0.3845,0.7238,0.2963,0.4885,0.6235,0.2739,0.931,0.6994,0.0831,0.8242,0.7948,0.3445,0.4962,0.9195,0.4932,0.235,0.8168,0.9299,0.09,0.834,0.9205,0.0967,0.4643,0.5432,0.485,0.3836,0.3671,0.7021,218.97,1
Levobupivacaine,CYP2D6,0.8978,0.3121,0.1782,0.6246,0.7901,0.1543,0.5617,0.7912,0.4227,0.82,0.8824,0.9337,0.6696,0.8103,0.7007,0.3868,0.385,0.1405,0.6346,0.5157,0.3791,0.8624,0.3725,0.6969,0.8982,0.0205,0.7498,0.8862,0.1575,0.8339,0.2995,0.1973,0.4198,0.7975,0.3477,0.7815,0.7025,0.4646,0.3396,0.229,216.83,1
Ibuprofen,TNF,0.4015,0.7934,0.7588,0.6949,0.2596,0.7776,0.8469,0.7715,0.8312,0.7438,0.0762,0.7115,0.5076,0.3118,0.3516,0.413,0.4602,0.7154,0.3242,0.2075,0.0196,0.291,0.2305,0.0974,0.5885,0.9969,0.3244,0.7586,0.0958,0.3226,0.1567,0.9423,0.9018,0.9034,0.2946,0.8316,0.2372,0.4244,0.9292,0.3195,154.99,1
Metformin,CYP2D6,0.3851,0.4884,0.7701,0.3966,0.21,0.0383,0.5395,0.0127,0.8869,0.4898,0.0816,0.1404,0.1861,0.7902,0.2417,0.5796,0.1864,0.6096,0.9075,0.6993,0.6245,0.5488,0.0768,0.6019,0.1369,0.9063,0.7229,0.4889,0.2197,0.6391,0.268,0.0828,0.6719,0.1817,0.1153,0.0074,0.4099,0.2349,0.4249,0.6827,842.97,0
Ibuprofen,TNF,0.0035,0.1421,0.7908,0.5631,0.474,0.9214,0.9114,0.1517,0.3827,0.5141,0.2732,0.3995,0.1144,0.5003,0.3503,0.7689,0.9735,0.2643,0.2866,0.7281,0.3875,0.1515,0.7289,0.687,0.9674,0.6863,0.7588,0.95,0.0666,0.1223,0.1704,0.5858,0.0338,0.754,0.4399,0.768,0.3793,0.0829,0.7601,0.1289,129.62,1
Metformin,CYP2D6,0.6134,0.8845,0.2933,0.5439,0.1342,0.2016,0.9079,0.3635,0.9453,0.6411,0.805,0.8572,0.4951,0.9618,0.497,0.7265,0.7594,0.0488,0.6569,0.677,0.6232,0.8548,0.312,0.2194,0.5747,0.5577,0.4297,0.1391,0.4811,0.1019,0.338,0.9384,0.5271,0.737,0.226,0.7659,0.6699,0.8576,0.9115,0.4194,300.38,1
Atorvastatin,KCNH2,0.0298,0.3387,0.8666,0.7596,0.7478,0.7944,0.3482,0.6724,0.9281,0.3331,0.9275,0.401,0.9558,0.1646,0.7348,0.4771,0.0584,0.8727,0.5907,0.5557,0.1339,0.9731,0.4982,0.019,0.3571,0.1151,0.5163,0.6501,0.4411,0.1984,0.3521,0.7951,0.6071,0.2328,0.1418,0.2719,0.1345,0.6731,0.7607,0.5302,944.08,0
Metformin,CYP2D6,0.5041,0.6989,0.7227,0.8569,0.5773,0.0672,0.8739,0.2297,0.4106,0.5561,0.6456,0.5097,0.315,0.9869,0.9852,0.5316,0.1921,0.7271,0.118,0.9851,0.671,0.6247,0.0795,0.4033,0.5968,0.194,0.2085,0.0382,0.5219,0.7148,0.2775,0.6102,0.136,0.0976,0.8228,0.0626,0.211,0.6262,0.3999,0.4819,98.01,1
Hydroxychloroquine,HMGCR,0.8042,0.2906,0.834,0.6629,0.5125,0.327,0.5851,0.3228,0.8681,0.8999,0.9283,0.8151,0.1566,0.0916,0.9847,0.5824,0.5957,0.7553,0.4947,0.9188,0.4888,0.2798,0.6409,0.4723,0.009,0.2601,0.5475,0.9617,0.6508,0.6945,0.4251,0.3175,0.2472,0.7905,0.7169,0.2038,0.3583,0.0371,0.3343,0.4404,113.54,1
Levobupivacaine,TNF,0.5499,0.5001,0.7086,0.9798,0.8723,0.6335,0.4798,0.4621,0.1128,0.311,0.6003,0.0201,0.8275,0.5982,0.7128,0.7579,0.9701,0.8814,0.6763,0.5868,0.8393,0.5516,0.5523,0.949,0.962,0.8194,0.2011,0.8214,0.3165,0.6658,0.3531,0.779,0.6603,0.2842,0.0035,0.1531,0.8004,0.3946,0.0935,0.0042,353.74,1
Atorvastatin,CYP2D6,0.2696,0.8163,0.5796,0.8283,0.7326,0.6588,0.7743,0.5896,0.5112,0.6894,0.9322,0.0777,0.2865,0.6823,0.0674,0.8807,0.529,0.2642,0.6448,0.221,0.7722,0.492,0.2608,0.8289,0.5185,0.9096,0.2938,0.0113,0.2744,0.0293,0.3446,0.3296,0.6925,0.2296,0.982,0.1173,0.8088,0.1402,0.3785,0.722,476.87,1
Metformin,TNF,0.7862,0.1568,0.1094,0.1246,0.1493,0.6988,0.7896,0.9018,0.7127,0.0399,0.4244,0.2651,0.107,0.9002,0.5532,0.5267,0.9008,0.6334,0.6682,0.4504,0.9621,0.3932,0.0307,0.144,0.6837,0.2381,0.6956,0.2907,0.6337,0.6908,0.2326,0.097,0.2889,0.1246,0.3902,0.4627,0.1135,0.2358,0.0939,0.4197,697.45,0
Ibuprofen,HMGCR,0.2697,0.9773,0.7109,0.5075,0.4204,0.3509,0.6754,0.8046,0.3456,0.1282,0.9722,0.7661,0.9905,0.7598,0.188,0.8632,0.3784,0.9123,0.864,0.0943,0.3112,0.1951,0.4039,0.9139,0.195,0.7819,0.054,0.7415,0.8311,0.807,0.3627,0.8113,0.9259,0.3998,0.5831,0.2719,0.0424,0.7812,0.1588,0.832,14.8,1
Atorvastatin,CYP2D6,0.733,0.0702,0.6905,0.9032,0.3213,0.666,0.8109,0.3592,0.0231,0.885,0.2106,0.2761,0.2136,0.0955,0.3366,0.934,0.279,0.6091,0.4119,0.7825,0.8593,0.3121,0.3286,0.2127,0.6082,0.0465,0.5569,0.8744,0.5606,0.5782,0.5631,0.5811,0.4972,0.0482,0.019,0.6049,0.8897,0.884,0.3736,0.7826,530.07,0
Atorvastatin,CYP2D6,0.6103,0.534,0.3125,0.9439,0.8021,0.4285,0.9514,0.768,0.0555,0.9033,0.2319,0.4139,0.3476,0.617,0.5359,0.1989,0.9525,0.1178,0.8365,0.1724,0.8124,0.9378,0.118,0.8529,0.2253,0.2085,0.6873,0.3305,0.3562,0.3169,0.844,0.2745,0.7576,0.3387,0.4035,0.3764,0.3919,0.6903,0.2993,0.0962,747.94,0
Metformin,HMGCR,0.17,0.916,0.7358,0.3802,0.719,0.5659,0.8731,0.8327,0.8946,0.5688,0.2447,0.3441,0.1934,0.7015,0.3267,0.4659,0.1719,0.8855,0.9172,0.84,0.0776,0.42,0.7181,0.1912,0.7454,0.1124,0.1113,0.9817,0.069,0.1699,0.6903,0.7834,0.6807,0.2409,0.5947,0.0539,0.2173,0.1373,0.5671,0.0629,809.88,0
Atorvastatin,HMGCR,0.9051,0.9457,0.5505,0.7257,0.472,0.5472,0.0743,0.5223,0.5185,0.597,0.168,0.8003,0.9515,0.2034,0.7855,0.33,0.7364,0.4122,0.5195,0.5217,0.6472,0.1855,0.7149,0.4638,0.5291,0.3738,0.2783,0.8916,0.5945,0.5391,0.4409,0.5291,0.1282,0.1112,0.8082,0.7348,0.1277,0.5778,0.1965,0.738,40.73,1
Ibuprofen,HMGCR,0.2006,0.2321,0.5594,0.4105,0.8236,0.1681,0.85,0.296,0.1523,0.4097,0.5077,0.6067,0.6805,0.6576,0.0384,0.1412,0.4247,0.3314,0.9198,0.6106,0.151,0.5078,0.547,0.4614,0.1625,0.9083,0.9648,0.4577,0.8593,0.849,0.2009,0.7954,0.6881,0.1879,0.7776,0.9301,0.5661,0.1829,0.3753,0.9455,902.64,0
Atorvastatin,TNF,0.9896,0.144,0.3676,0.1237,0.4101,0.8466,0.7815,0.9431,0.9021,0.5967,0.5429,0.2173,0.7387,0.0914,0.3938,0.2642,0.1733,0.3107,0.8994,0.553,0.6787,0.072,0.2657,0.6603,0.2113,0.2027,0.9129,0.1837,0.169,0.6933,0.5943,0.5297,0.3257,0.3062,0.6526,0.5373,0.7193,0.1234,0.177,0.508,459.7,1
Ibuprofen,HMGCR,0.0073,0.7244,0.1168,0.8846,0.8036,0.8671,0.9267,0.9623,0.9422,0.8757,0.7786,0.8833,0.1023,0.1413,0.7205,0.4115,0.3931,0.5603,0.8371,0.245,0.9273,0.4022,0.1047,0.4233,0.4858,0.0392,0.19,0.8891,0.6768,0.0581,0.4998,0.8336,0.3291,0.4328,0.7081,0.3868,0.3629,0.8518,0.6752,0.6515,961.54,0
Metformin,TNF,0.2635,0.042,0.2169,0.932,0.0321,0.2037,0.7396,0.2246,0.3261,0.1546,0.3051,0.0109,0.6721,0.3618,0.9819,0.5199,0.9755,0.6808,0.6389,0.7594,0.1693,0.6805,0.3791,0.3822,0.4594,0.9388,0.0239,0.4336,0.5191,0.5548,0.9851,0.7555,0.1991,0.113,0.0613,0.952,0.3132,0.0859,0.4397,0.3759,4.01,1
Levobupivacaine,KCNH2,0.1999,0.4852,0.7688,0.5048,0.1346,0.4165,0.8779,0.7851,0.586,0.5006,0.9111,0.4181,0.5205,0.196,0.5528,0.5136,0.2205,0.2438,0.4696,0.7706,0.1938,0.2639,0.808,0.0103,0.7992,0.8287,0.5781,0.9231,0.5187,0.0341,0.3372,0.723,0.519,0.1182,0.7967,0.6408,0.9315,0.9714,0.3399,0.3548,49.26,1
Atorvastatin,CYP2D6,0.014,0.7964,0.2714,0.0183,0.756,0.4649,0.0102,0.0418,0.3258,0.8761,0.8332,0.7966,0.4771,0.0035,0.8435,0.3289,0.9831,0.6574,0.2449,0.9264,0.5126,0.0199,0.2657,0.4382,0.9349,0.6214,0.7598,0.82,0.1642,0.4266,0.6,0.7328,0.2956,0.7271,0.9324,0.0198,0.737,0.3604,0.0199,0.9743,210.3,1
Levobupivacaine,CYP2D6,0.7324,0.5603,0.0023,0.816,0.1144,0.5489,0.9778,0.0024,0.7253,0.071,0.7498,0.46,0.5081,0.6211,0.4914,0.9526,0.8766,0.6237,0.4537,0.1465,0.1968,0.486,0.9726,0.964,0.5662,0.038,0.4777,0.0529,0.44,0.7071,0.8067,0.8445,0.2058,0.9456,0.8606,0.2636,0.5825,0.2696,0.915,0.1183,359.63,1
Ibuprofen,SCN4A,0.6934,0.188,0.997,0.477,0.6838,0.0223,0.1909,0.3516,0.9479,0.2012,0.9815,0.2813,0.6293,0.4628,0.9995,0.0523,0.4707,0.7725,0.9131,0.9136,0.6295,0.7281,0.4794,0.2707,0.5444,0.817,0.5877,0.0747,0.7578,0.0411,0.3028,0.498,0.9262,0.6472,0.0706,0.9505,0.3245,0.1424,0.0276,0.1582,124.89,1
Atorvastatin,KCNH2,0.7924,0.487,0.2107,0.075,0.7236,0.7588,0.8642,0.4625,0.0279,0.5129,0.0262,0.9186,0.0833,0.223,0.8886,0.7646,0.5985,0.0647,0.2907,0.393,0.2782,0.6261,0.1857,0.3998,0.7171,0.1271,0.3247,0.6891,0.1889,0.9557,0.3069,0.7071,0.5413,0.1663,0.3414,0.7073,0.5619,0.2173,0.7772,0.375,38.42,1
